                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1096,                 3.2708,                 4.1175,                0.05954,                0.24959,                0.05141,                0.01245,                 2.5878,                 2.9343,                 3.8955,              0.0006631,              0.0006631,              0.0006631
                      2,                  2.986,                 2.8172,                 3.6988,                0.01939,                  0.677,                0.03699,                0.00935,                 2.7403,                 3.2864,                 3.9524,              0.0013232,              0.0013232,              0.0013232
                      3,                 2.8017,                 2.7056,                  3.336,                0.02924,                0.59543,                0.03382,                0.01137,                 2.4033,                  3.227,                 3.6008,              0.0019767,              0.0019767,              0.0019767
                      4,                 2.6686,                 2.5461,                 3.1104,                0.25819,                0.32137,                0.21686,                0.06554,                 2.2416,                 2.7093,                 2.9914,              0.0019703,              0.0019703,              0.0019703
                      5,                 2.4642,                  2.391,                 2.9299,                0.41029,                0.38989,                0.36432,                0.13178,                 2.0664,                 3.7332,                 2.7359,              0.0019703,              0.0019703,              0.0019703
                      6,                 2.3504,                 2.3459,                 2.8117,                0.38295,                0.46003,                0.38402,                0.15459,                 1.9873,                 2.2719,                 2.6543,              0.0019604,              0.0019604,              0.0019604
                      7,                 2.1799,                 2.1744,                 2.6282,                0.36778,                0.40294,                0.33218,                0.13881,                 1.9263,                 2.5559,                 2.5115,              0.0019505,              0.0019505,              0.0019505
                      8,                  2.057,                 2.1308,                 2.5407,                0.52123,                 0.5155,                0.49529,                0.23695,                  1.717,                 2.2371,                 2.2877,              0.0019406,              0.0019406,              0.0019406
                      9,                 1.8883,                   1.97,                 2.3713,                0.57746,                0.64876,                0.64797,                0.35185,                 1.5313,                 1.7894,                 2.1279,              0.0019307,              0.0019307,              0.0019307
                     10,                 1.7389,                 1.8872,                 2.2675,                0.53148,                0.58401,                0.56883,                0.29837,                 1.4657,                 1.8439,                 2.0905,              0.0019208,              0.0019208,              0.0019208
                     11,                 1.6158,                  1.735,                 2.1368,                0.75569,                0.71651,                0.80422,                0.50791,                 1.3312,                  1.483,                 1.9335,              0.0019109,              0.0019109,              0.0019109
                     12,                 1.5713,                 1.6798,                 2.0913,                0.68657,                0.72185,                0.78441,                0.49201,                 1.3139,                 1.4849,                 1.8593,               0.001901,               0.001901,               0.001901
                     13,                 1.4968,                 1.6574,                 2.0223,                0.72351,                0.69331,                0.76371,                0.50203,                 1.1915,                  1.454,                 1.7557,              0.0018911,              0.0018911,              0.0018911
                     14,                 1.4387,                 1.5482,                 1.9431,                 0.8057,                 0.7292,                0.83277,                0.55176,                 1.1714,                 1.3219,                 1.7295,              0.0018812,              0.0018812,              0.0018812
                     15,                 1.3643,                 1.5128,                 1.8768,                0.75189,                0.76132,                0.81744,                0.54002,                 1.1731,                 1.3082,                 1.7215,              0.0018713,              0.0018713,              0.0018713
                     16,                 1.3338,                 1.4593,                 1.8452,                0.79862,                0.75367,                0.85063,                0.58652,                 1.1188,                  1.274,                 1.6795,              0.0018614,              0.0018614,              0.0018614
                     17,                 1.3206,                 1.4415,                 1.8393,                0.81178,                0.79119,                0.87189,                0.59038,                 1.1459,                 1.2059,                 1.6516,              0.0018515,              0.0018515,              0.0018515
                     18,                 1.3531,                  1.457,                 1.8626,                0.78752,                0.75693,                0.85655,                0.57734,                 1.1413,                  1.246,                 1.6598,              0.0018416,              0.0018416,              0.0018416
                     19,                 1.3241,                 1.4074,                 1.8232,                0.83785,                0.77814,                0.88093,                0.63699,                 1.0307,                 1.1586,                 1.5871,              0.0018317,              0.0018317,              0.0018317
                     20,                 1.3046,                 1.3566,                 1.7918,                0.82683,                0.76332,                0.86802,                0.60379,                 1.0527,                 1.1505,                 1.5976,              0.0018218,              0.0018218,              0.0018218
