                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    nan,                    nan,                    nan,                0.01257,                 0.2681,                0.00952,                0.00295,                    nan,                    nan,                    nan,             0.00064762,             0.00064762,             0.00064762
                      2,                    nan,                    nan,                    nan,                0.01252,                 0.2681,                0.01269,                0.00375,                    nan,                    nan,                    nan,              0.0013078,              0.0013078,              0.0013078
                      3,                    nan,                    nan,                    nan,                0.01309,                0.26095,                0.01603,                0.00415,                    nan,                    nan,                    nan,              0.0019613,              0.0019613,              0.0019613
                      4,                    nan,                    nan,                    nan,                0.01399,                 0.2672,                0.01602,                0.00416,                    nan,                    nan,                    nan,              0.0019703,              0.0019703,              0.0019703
                      5,                    nan,                    nan,                    nan,                 0.0178,                0.38248,                 0.0187,                0.00499,                    nan,                    nan,                    nan,              0.0019604,              0.0019604,              0.0019604
                      6,                    nan,                    nan,                    nan,                0.02179,                0.59875,                0.02527,                0.00687,                    nan,                    nan,                    nan,              0.0019505,              0.0019505,              0.0019505
                      7,                    nan,                    nan,                    nan,                0.02214,                0.62824,                0.02518,                0.00689,                    nan,                    nan,                    nan,              0.0019406,              0.0019406,              0.0019406
                      8,                    nan,                    nan,                    nan,                0.02224,                 0.6336,                0.02529,                0.00704,                    nan,                    nan,                    nan,              0.0019307,              0.0019307,              0.0019307
                      9,                    nan,                    nan,                    nan,                0.02245,                0.64075,                0.02531,                0.00688,                    nan,                    nan,                    nan,              0.0019208,              0.0019208,              0.0019208
                     10,                    nan,                    nan,                    nan,                0.02203,                0.62913,                 0.0245,                0.00677,                    nan,                    nan,                    nan,              0.0019109,              0.0019109,              0.0019109
                     11,                    nan,                    nan,                    nan,                0.02228,                0.63628,                 0.0253,                0.00704,                    nan,                    nan,                    nan,               0.001901,               0.001901,               0.001901
                     12,                    nan,                    nan,                    nan,                0.02223,                 0.6345,                0.02505,                0.00687,                    nan,                    nan,                    nan,              0.0018911,              0.0018911,              0.0018911
