                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7228,                 4.6913,                 4.2892,                0.00196,                 0.1504,                0.00318,                 0.0005,                    nan,                    nan,                    nan,             0.00030025,             0.00030025,             0.00030025
                      2,                  3.466,                 4.1038,                 3.9539,                0.15097,                0.06418,                0.00591,                0.00196,                    nan,                    nan,                    nan,             0.00060026,             0.00060026,             0.00060026
                      3,                 3.1636,                 3.6861,                 3.6047,                0.52449,                0.02658,                 0.0413,                0.01396,                    nan,                    nan,                    nan,             0.00089727,             0.00089727,             0.00089727
                      4,                 3.0585,                 3.4093,                 3.3417,                0.18628,                0.06695,                0.03749,                0.01136,                    nan,                    nan,                    nan,              0.0008955,              0.0008955,              0.0008955
                      5,                 2.9689,                 3.2528,                 3.1179,                0.27001,                0.09952,                0.06059,                0.02286,                    nan,                    nan,                    nan,              0.0008955,              0.0008955,              0.0008955
                      6,                 2.7381,                 3.0771,                  2.912,                0.41405,                0.13665,                0.08447,                0.02689,                    nan,                    nan,                    nan,               0.000891,               0.000891,               0.000891
                      7,                 2.5622,                 2.8695,                 2.7679,                0.45871,                0.13399,                0.12022,                0.05683,                    nan,                    nan,                    nan,              0.0008865,              0.0008865,              0.0008865
                      8,                 2.4336,                 2.7872,                 2.6792,                0.37289,                0.23049,                0.17047,                0.07321,                    nan,                    nan,                    nan,               0.000882,               0.000882,               0.000882
                      9,                 2.3305,                 2.6155,                 2.5395,                0.34407,                0.22592,                0.15927,                 0.0788,                    nan,                    nan,                    nan,              0.0008775,              0.0008775,              0.0008775
                     10,                   2.18,                 2.4715,                 2.4368,                0.65873,                0.17414,                 0.1885,                0.10275,                    nan,                    nan,                    nan,               0.000873,               0.000873,               0.000873
                     11,                 2.0753,                 2.4046,                 2.3571,                 0.4331,                0.23297,                0.21978,                0.11322,                    nan,                    nan,                    nan,              0.0008685,              0.0008685,              0.0008685
                     12,                 2.0351,                 2.3028,                  2.279,                 0.4866,                0.21978,                0.23342,                0.13505,                    nan,                    nan,                    nan,               0.000864,               0.000864,               0.000864
                     13,                 1.8977,                 2.1699,                 2.1636,                0.46706,                0.28829,                0.28072,                0.15926,                    nan,                    nan,                    nan,              0.0008595,              0.0008595,              0.0008595
                     14,                 1.8598,                 2.0842,                 2.1355,                0.43653,                 0.2942,                0.30595,                0.17521,                    nan,                    nan,                    nan,             0.00085501,             0.00085501,             0.00085501
                     15,                 1.7901,                 2.0209,                 2.0832,                0.59889,                 0.2835,                 0.3404,                0.20037,                    nan,                    nan,                    nan,             0.00085051,             0.00085051,             0.00085051
                     16,                 1.7189,                 1.9423,                 1.9985,                0.62603,                0.25418,                0.35005,                0.21681,                    nan,                    nan,                    nan,             0.00084601,             0.00084601,             0.00084601
                     17,                 1.6842,                 1.8619,                 1.9465,                0.56929,                0.32037,                0.36307,                0.22259,                    nan,                    nan,                    nan,             0.00084151,             0.00084151,             0.00084151
                     18,                 1.6783,                 1.8736,                 1.9539,                0.65864,                0.32835,                0.41915,                0.24237,                    nan,                    nan,                    nan,             0.00083701,             0.00083701,             0.00083701
                     19,                 1.6082,                 1.8045,                 1.8591,                0.56533,                0.42025,                0.44883,                0.26754,                    nan,                    nan,                    nan,             0.00083251,             0.00083251,             0.00083251
                     20,                  1.576,                 1.7462,                 1.8367,                0.58917,                0.43896,                0.45497,                0.28349,                    nan,                    nan,                    nan,             0.00082801,             0.00082801,             0.00082801
                     21,                 1.5408,                 1.6958,                 1.8169,                  0.554,                0.51879,                0.47725,                0.29702,                    nan,                    nan,                    nan,             0.00082351,             0.00082351,             0.00082351
                     22,                 1.5247,                 1.6755,                 1.7731,                0.47068,                0.39352,                0.44316,                0.28509,                    nan,                    nan,                    nan,             0.00081901,             0.00081901,             0.00081901
                     23,                 1.4511,                 1.5631,                 1.7135,                0.61109,                0.45982,                0.49875,                0.31303,                    nan,                    nan,                    nan,             0.00081451,             0.00081451,             0.00081451
                     24,                 1.4437,                 1.5578,                 1.6921,                0.44924,                0.50673,                0.48419,                0.30707,                    nan,                    nan,                    nan,             0.00081001,             0.00081001,             0.00081001
                     25,                 1.4232,                 1.5233,                 1.6662,                0.60928,                0.49246,                0.51439,                0.34258,                    nan,                    nan,                    nan,             0.00080551,             0.00080551,             0.00080551
                     26,                  1.394,                 1.4992,                 1.6598,                0.72149,                0.50398,                0.51793,                0.36657,                    nan,                    nan,                    nan,             0.00080101,             0.00080101,             0.00080101
                     27,                  1.358,                 1.4683,                 1.6132,                0.67144,                0.51106,                0.54828,                0.38002,                    nan,                    nan,                    nan,             0.00079651,             0.00079651,             0.00079651
                     28,                   1.34,                 1.4383,                 1.5957,                0.67102,                0.52291,                0.54066,                0.37273,                    nan,                    nan,                    nan,             0.00079201,             0.00079201,             0.00079201
                     29,                 1.3028,                 1.4052,                 1.5526,                0.64191,                0.52944,                0.54964,                0.38287,                    nan,                    nan,                    nan,             0.00078751,             0.00078751,             0.00078751
                     30,                 1.2943,                 1.3622,                 1.5378,                0.67142,                0.49326,                0.54332,                0.38964,                    nan,                    nan,                    nan,             0.00078301,             0.00078301,             0.00078301
                     31,                 1.2585,                 1.3618,                 1.5168,                0.74715,                0.50802,                 0.5646,                 0.4065,                    nan,                    nan,                    nan,             0.00077851,             0.00077851,             0.00077851
                     32,                 1.2886,                  1.351,                 1.5483,                0.76622,                0.54111,                0.57325,                0.40872,                    nan,                    nan,                    nan,             0.00077401,             0.00077401,             0.00077401
                     33,                 1.2717,                  1.352,                 1.5294,                0.82906,                0.50878,                0.56267,                0.39814,                    nan,                    nan,                    nan,             0.00076951,             0.00076951,             0.00076951
                     34,                 1.2645,                 1.3284,                 1.5058,                0.74569,                0.54893,                0.57202,                0.41844,                    nan,                    nan,                    nan,             0.00076501,             0.00076501,             0.00076501
                     35,                 1.2163,                 1.2885,                 1.4765,                0.79692,                0.51298,                0.56996,                0.42719,                    nan,                    nan,                    nan,             0.00076051,             0.00076051,             0.00076051
                     36,                 1.2443,                 1.3096,                 1.4886,                0.80554,                0.55505,                0.58644,                0.42221,                    nan,                    nan,                    nan,             0.00075602,             0.00075602,             0.00075602
                     37,                 1.2084,                 1.2695,                 1.4659,                0.84291,                0.50675,                0.59557,                0.43676,                    nan,                    nan,                    nan,             0.00075152,             0.00075152,             0.00075152
                     38,                 1.1789,                 1.2351,                 1.4431,                 0.8006,                0.50549,                0.58438,                0.42014,                    nan,                    nan,                    nan,             0.00074702,             0.00074702,             0.00074702
                     39,                 1.1738,                 1.2451,                 1.4447,                0.72358,                0.53438,                 0.5734,                0.42383,                    nan,                    nan,                    nan,             0.00074252,             0.00074252,             0.00074252
                     40,                 1.1781,                 1.1845,                  1.436,                0.75213,                0.56078,                0.58556,                0.42161,                    nan,                    nan,                    nan,             0.00073802,             0.00073802,             0.00073802
                     41,                 1.1789,                 1.1575,                 1.4194,                0.65446,                0.59676,                0.60236,                0.44295,                    nan,                    nan,                    nan,             0.00073352,             0.00073352,             0.00073352
                     42,                 1.1672,                 1.1854,                 1.4118,                0.76033,                 0.5627,                0.60383,                0.44865,                    nan,                    nan,                    nan,             0.00072902,             0.00072902,             0.00072902
                     43,                 1.1221,                 1.1655,                 1.3895,                0.77862,                0.52012,                0.58256,                0.43291,                    nan,                    nan,                    nan,             0.00072452,             0.00072452,             0.00072452
                     44,                 1.0983,                 1.1301,                 1.3626,                0.71538,                0.58427,                0.60365,                0.45637,                    nan,                    nan,                    nan,             0.00072002,             0.00072002,             0.00072002
                     45,                 1.1409,                  1.155,                 1.3794,                0.78773,                0.53754,                0.62822,                 0.4786,                    nan,                    nan,                    nan,             0.00071552,             0.00071552,             0.00071552
                     46,                  1.079,                  1.108,                 1.3558,                0.78229,                0.56746,                0.63253,                0.47336,                    nan,                    nan,                    nan,             0.00071102,             0.00071102,             0.00071102
                     47,                 1.1001,                 1.1236,                 1.3569,                0.81851,                0.56148,                0.61966,                0.46833,                    nan,                    nan,                    nan,             0.00070652,             0.00070652,             0.00070652
                     48,                 1.0952,                 1.1071,                 1.3493,                0.79123,                0.57932,                0.62656,                0.49081,                    nan,                    nan,                    nan,             0.00070202,             0.00070202,             0.00070202
                     49,                 1.0781,                 1.0921,                 1.3327,                0.77705,                0.56969,                0.62702,                0.48815,                    nan,                    nan,                    nan,             0.00069752,             0.00069752,             0.00069752
                     50,                 1.0507,                  1.069,                 1.3225,                0.72347,                0.59219,                0.62926,                0.47782,                    nan,                    nan,                    nan,             0.00069302,             0.00069302,             0.00069302
                     51,                 1.0601,                 1.0704,                 1.3373,                0.85582,                0.55195,                0.63321,                0.49762,                    nan,                    nan,                    nan,             0.00068852,             0.00068852,             0.00068852
                     52,                 1.0614,                 1.0521,                 1.3308,                 0.7299,                0.56468,                0.62899,                0.49507,                    nan,                    nan,                    nan,             0.00068402,             0.00068402,             0.00068402
                     53,                 1.0431,                  1.028,                 1.3171,                0.80108,                 0.5716,                0.63591,                0.50179,                    nan,                    nan,                    nan,             0.00067952,             0.00067952,             0.00067952
                     54,                 1.0417,                 1.0595,                 1.3084,                0.74207,                0.58419,                0.64959,                0.51345,                    nan,                    nan,                    nan,             0.00067502,             0.00067502,             0.00067502
                     55,                 1.0374,                 1.0214,                 1.2952,                0.87677,                0.57942,                0.65579,                0.51959,                    nan,                    nan,                    nan,             0.00067052,             0.00067052,             0.00067052
                     56,                 1.0133,                 1.0041,                 1.2861,                0.80119,                0.58484,                0.67022,                0.52647,                    nan,                    nan,                    nan,             0.00066602,             0.00066602,             0.00066602
                     57,                 1.0323,                 1.0197,                 1.2942,                0.85954,                0.58891,                0.67323,                0.51863,                    nan,                    nan,                    nan,             0.00066152,             0.00066152,             0.00066152
                     58,                 1.0055,                0.98416,                 1.2884,                0.80224,                0.60687,                0.65567,                0.51512,                    nan,                    nan,                    nan,             0.00065703,             0.00065703,             0.00065703
                     59,                 1.0243,                 1.0012,                 1.2845,                0.92502,                0.57595,                0.66399,                0.52151,                    nan,                    nan,                    nan,             0.00065253,             0.00065253,             0.00065253
                     60,                0.98141,                0.94854,                 1.2718,                 0.8859,                0.57491,                 0.6659,                0.52957,                    nan,                    nan,                    nan,             0.00064803,             0.00064803,             0.00064803
                     61,                0.98904,                  0.966,                 1.2512,                0.80184,                0.59693,                 0.6429,                0.50508,                    nan,                    nan,                    nan,             0.00064353,             0.00064353,             0.00064353
                     62,                 1.0007,                0.96409,                 1.2694,                0.80676,                0.59375,                0.65549,                0.51688,                    nan,                    nan,                    nan,             0.00063903,             0.00063903,             0.00063903
                     63,                0.98091,                0.94306,                  1.247,                0.70058,                 0.5949,                0.62779,                0.50432,                    nan,                    nan,                    nan,             0.00063453,             0.00063453,             0.00063453
                     64,                 1.0025,                0.96865,                 1.2597,                0.79245,                0.59303,                0.63337,                0.51196,                    nan,                    nan,                    nan,             0.00063003,             0.00063003,             0.00063003
                     65,                0.97724,                0.95739,                 1.2582,                0.77057,                0.59937,                 0.6432,                0.52917,                    nan,                    nan,                    nan,             0.00062553,             0.00062553,             0.00062553
                     66,                  0.972,                0.93235,                 1.2651,                  0.775,                0.60292,                0.63455,                0.51969,                    nan,                    nan,                    nan,             0.00062103,             0.00062103,             0.00062103
                     67,                0.98223,                0.93368,                 1.2432,                 0.8465,                0.57862,                0.64002,                0.51827,                    nan,                    nan,                    nan,             0.00061653,             0.00061653,             0.00061653
                     68,                0.96239,                0.92897,                 1.2533,                0.86815,                0.58723,                0.65114,                0.54073,                    nan,                    nan,                    nan,             0.00061203,             0.00061203,             0.00061203
                     69,                 0.9626,                0.91393,                 1.2326,                 0.7531,                0.62958,                0.65977,                0.53611,                    nan,                    nan,                    nan,             0.00060753,             0.00060753,             0.00060753
                     70,                0.92486,                0.87776,                  1.214,                0.89545,                0.58155,                0.66781,                0.55135,                    nan,                    nan,                    nan,             0.00060303,             0.00060303,             0.00060303
                     71,                0.93328,                0.87073,                 1.2182,                 0.8428,                0.60658,                0.65944,                0.54136,                    nan,                    nan,                    nan,             0.00059853,             0.00059853,             0.00059853
