                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0151,                 3.7782,                 3.6344,                  0.652,                0.23998,                0.25246,                0.11502,                 2.0043,                 2.6998,                 2.6549,              0.0033317,              0.0033317,              0.0033317
                      2,                 1.6398,                 2.0343,                  2.141,                0.85298,                0.59149,                0.67532,                0.48224,                 1.1204,                 1.5387,                  1.676,              0.0065991,              0.0065991,              0.0065991
                      3,                 1.1447,                 1.4312,                 1.5923,                0.90521,                0.68527,                0.75108,                0.61392,                0.78561,                  1.048,                 1.2983,              0.0098004,              0.0098004,              0.0098004
                      4,                0.91486,                 1.1135,                 1.3546,                0.91498,                 0.7464,                0.77606,                 0.6635,                0.62782,                0.79765,                 1.1451,               0.009703,               0.009703,               0.009703
                      5,                0.78411,                0.90014,                  1.241,                 0.9453,                0.74144,                0.79042,                0.69736,                0.55489,                0.68706,                 1.0763,               0.009604,               0.009604,               0.009604
                      6,                 0.7055,                0.77385,                 1.1674,                0.95303,                 0.7721,                0.80107,                0.71444,                0.51833,                0.56519,                 1.0436,               0.009505,               0.009505,               0.009505
                      7,                0.65633,                0.68244,                 1.1304,                 0.8135,                0.80652,                0.82057,                0.74343,                0.47283,                0.49462,                 1.0036,               0.009406,               0.009406,               0.009406
                      8,                0.62805,                0.63597,                 1.1041,                0.87236,                0.80937,                 0.8351,                0.75244,                0.46272,                0.46631,                 0.9841,               0.009307,               0.009307,               0.009307
                      9,                0.60035,                0.58801,                 1.0782,                0.84004,                0.86118,                0.84697,                 0.7642,                0.44797,                0.43038,                0.96904,               0.009208,               0.009208,               0.009208
                     10,                0.57526,                0.56208,                 1.0603,                0.83192,                0.83571,                0.83892,                0.77255,                 0.4331,                0.40199,                0.95616,               0.009109,               0.009109,               0.009109
                     11,                0.56119,                0.53932,                 1.0491,                0.91481,                0.83668,                0.86621,                0.78956,                0.42878,                0.40105,                0.95693,                0.00901,                0.00901,                0.00901
                     12,                0.54764,                0.51564,                 1.0368,                0.93501,                0.85806,                0.88041,                0.80515,                0.41671,                0.37937,                0.94445,               0.008911,               0.008911,               0.008911
                     13,                0.54241,                0.51107,                 1.0384,                0.86942,                0.86321,                0.87032,                0.79822,                0.41598,                0.37785,                0.94266,               0.008812,               0.008812,               0.008812
                     14,                0.52519,                0.48435,                 1.0243,                0.95941,                 0.8533,                0.89611,                0.81941,                0.40283,                0.35564,                 0.9335,               0.008713,               0.008713,               0.008713
                     15,                0.51691,                0.47916,                 1.0182,                0.84456,                0.87794,                0.88535,                0.81743,                0.39757,                0.34761,                0.93013,               0.008614,               0.008614,               0.008614
                     16,                0.51239,                0.46717,                 1.0135,                0.91434,                0.85467,                0.88976,                0.82349,                0.39255,                0.34582,                0.92776,               0.008515,               0.008515,               0.008515
                     17,                0.50427,                0.45804,                 1.0091,                0.88773,                0.89388,                0.90974,                0.83576,                0.38374,                0.33149,                0.91868,               0.008416,               0.008416,               0.008416
                     18,                0.49591,                0.45148,                 1.0063,                 0.8327,                0.88069,                0.88165,                 0.8175,                0.38953,                0.32863,                0.93046,               0.008317,               0.008317,               0.008317
                     19,                0.49268,                0.44217,                 1.0007,                0.97098,                0.86004,                0.91293,                0.84342,                0.37477,                0.31224,                0.91208,               0.008218,               0.008218,               0.008218
                     20,                0.48359,                0.42984,                0.99611,                0.91581,                0.89763,                0.92762,                0.85655,                0.38079,                0.31191,                0.92054,               0.008119,               0.008119,               0.008119
                     21,                0.48004,                0.42286,                0.99192,                0.93759,                0.88996,                 0.9185,                0.85105,                0.37061,                0.30197,                0.91118,                0.00802,                0.00802,                0.00802
                     22,                0.47268,                0.41687,                0.99082,                0.94779,                0.91325,                0.94152,                0.87394,                0.36418,                0.29215,                0.90484,               0.007921,               0.007921,               0.007921
                     23,                 0.4722,                0.41428,                0.98673,                0.91732,                 0.8983,                0.92209,                0.85503,                0.36807,                0.29862,                0.91232,               0.007822,               0.007822,               0.007822
                     24,                0.46635,                0.40201,                0.98207,                0.90826,                0.91541,                0.93364,                0.86708,                 0.3623,                0.28809,                0.90341,               0.007723,               0.007723,               0.007723
                     25,                0.46135,                 0.3995,                0.98084,                 0.9338,                0.91702,                0.94077,                0.86582,                0.36337,                0.28584,                0.90248,               0.007624,               0.007624,               0.007624
                     26,                0.45944,                0.39539,                0.97919,                0.92627,                0.90905,                0.93308,                0.86644,                0.35797,                0.29248,                 0.8998,               0.007525,               0.007525,               0.007525
                     27,                 0.4513,                0.38607,                0.97322,                0.92511,                0.91528,                0.93655,                0.87175,                0.35352,                0.27827,                0.89976,               0.007426,               0.007426,               0.007426
