                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0512,                 3.2322,                 4.0977,                 0.0391,                0.11111,                0.02058,                0.00386,                 3.2509,                 3.0118,                 3.9956,              0.0006631,              0.0006631,              0.0006631
                      2,                 3.4119,                 2.6898,                 3.5404,                0.21101,                0.19444,                 0.1095,                0.02454,                 3.2801,                 2.5971,                 3.8742,              0.0013232,              0.0013232,              0.0013232
                      3,                 2.9815,                 2.5935,                 3.1357,                0.24846,                0.32843,                0.17511,                0.03503,                 3.1226,                 2.2671,                 3.6554,              0.0019767,              0.0019767,              0.0019767
                      4,                 2.7725,                 2.4961,                 2.9329,                0.34038,                0.28431,                0.26139,                0.09039,                 2.2623,                 2.7385,                 2.8789,              0.0019703,              0.0019703,              0.0019703
                      5,                  2.556,                 2.3717,                 2.6984,                 0.3672,                0.21405,                0.23904,                0.09823,                 2.1543,                 2.3964,                 2.7382,              0.0019703,              0.0019703,              0.0019703
                      6,                 2.4726,                 2.3054,                 2.5968,                0.36583,                0.21569,                0.23005,                0.09794,                 2.1086,                 2.4475,                 2.5975,              0.0019604,              0.0019604,              0.0019604
                      7,                 2.2905,                 2.1566,                 2.4518,                0.57126,                0.45588,                0.53017,                0.23619,                 1.9429,                 1.9882,                 2.4011,              0.0019505,              0.0019505,              0.0019505
                      8,                 2.1816,                 2.0749,                 2.3568,                0.39846,                0.44281,                0.38347,                0.16949,                 1.8596,                 2.1592,                 2.3528,              0.0019406,              0.0019406,              0.0019406
                      9,                 2.0607,                 2.0036,                 2.2949,                0.42231,                0.41993,                0.39614,                0.17851,                 1.7997,                 2.0162,                  2.304,              0.0019307,              0.0019307,              0.0019307
                     10,                  1.946,                  1.916,                 2.2009,                0.44919,                0.46895,                0.46458,                0.22996,                 1.6386,                 1.9127,                 2.1833,              0.0019208,              0.0019208,              0.0019208
                     11,                 1.8399,                 1.7844,                 2.0843,                0.60785,                 0.6585,                0.67722,                0.39922,                 1.4269,                   1.67,                 1.9689,              0.0019109,              0.0019109,              0.0019109
                     12,                 1.7351,                 1.6889,                 2.0206,                0.72306,                0.64869,                0.74448,                0.40564,                 1.5752,                 1.5282,                 2.0321,               0.001901,               0.001901,               0.001901
                     13,                 1.6786,                  1.663,                 1.9925,                0.63681,                0.60621,                0.64124,                0.38229,                  1.364,                 1.5651,                  1.916,              0.0018911,              0.0018911,              0.0018911
                     14,                  1.588,                 1.5236,                 1.8723,                0.71741,                0.69444,                0.76155,                0.47303,                 1.3477,                 1.4417,                 1.8823,              0.0018812,              0.0018812,              0.0018812
                     15,                 1.5499,                 1.4966,                 1.8426,                 0.7789,                0.72712,                0.81725,                0.51358,                 1.2905,                 1.3538,                 1.7992,              0.0018713,              0.0018713,              0.0018713
                     16,                 1.5223,                 1.4653,                 1.7945,                0.73232,                0.72866,                0.79582,                0.50441,                 1.2542,                 1.3875,                 1.7929,              0.0018614,              0.0018614,              0.0018614
                     17,                 1.4641,                 1.4426,                 1.7646,                0.82317,                0.75654,                0.85773,                0.57477,                 1.2052,                 1.2195,                 1.7147,              0.0018515,              0.0018515,              0.0018515
                     18,                 1.4293,                 1.3937,                 1.7525,                0.78227,                0.72222,                0.81255,                0.56193,                  1.137,                 1.2693,                 1.6969,              0.0018416,              0.0018416,              0.0018416
                     19,                 1.3841,                 1.3635,                 1.6927,                0.82907,                0.81373,                0.89004,                0.57206,                 1.1993,                 1.1796,                 1.7158,              0.0018317,              0.0018317,              0.0018317
                     20,                 1.3697,                 1.3105,                 1.6694,                 0.8449,                0.77437,                0.88112,                0.61113,                 1.1028,                 1.1439,                   1.64,              0.0018218,              0.0018218,              0.0018218
                     21,                 1.3202,                 1.2953,                 1.6546,                 0.8038,                0.72876,                0.83005,                 0.5854,                  1.053,                 1.2664,                 1.5876,              0.0018119,              0.0018119,              0.0018119
                     22,                 1.2929,                 1.2717,                  1.621,                0.84921,                0.73203,                0.85433,                  0.608,                 1.0716,                 1.2288,                 1.5954,               0.001802,               0.001802,               0.001802
                     23,                 1.2609,                 1.2269,                 1.6022,                0.89748,                0.84641,                0.92211,                0.67703,                0.98768,                0.98818,                 1.5318,              0.0017921,              0.0017921,              0.0017921
                     24,                 1.2168,                 1.1553,                 1.5398,                 0.8477,                0.79124,                0.87513,                0.61794,                 1.0587,                 1.1572,                 1.5693,              0.0017822,              0.0017822,              0.0017822
                     25,                 1.2055,                 1.1904,                 1.5303,                0.78964,                0.68695,                0.80136,                0.57327,                 1.0096,                 1.2988,                 1.5346,              0.0017723,              0.0017723,              0.0017723
                     26,                 1.1867,                 1.1303,                 1.5346,                0.90098,                0.78801,                0.90415,                0.69237,                0.89493,                 1.0054,                 1.4382,              0.0017624,              0.0017624,              0.0017624
                     27,                 1.1864,                 1.2091,                 1.5138,                  0.881,                0.81209,                0.91276,                0.68153,                0.95969,                 1.0051,                 1.4773,              0.0017525,              0.0017525,              0.0017525
                     28,                 1.1207,                 1.0795,                 1.4653,                0.89275,                 0.8415,                0.93446,                0.71116,                0.88808,                0.92399,                 1.4193,              0.0017426,              0.0017426,              0.0017426
                     29,                 1.1253,                 1.0397,                 1.4735,                0.91047,                0.86411,                0.94324,                0.73131,                0.86105,                0.86939,                 1.3881,              0.0017327,              0.0017327,              0.0017327
                     30,                 1.1042,                 1.0291,                 1.4551,                0.88241,                0.83381,                0.91624,                0.69721,                0.88269,                0.98906,                 1.4103,              0.0017228,              0.0017228,              0.0017228
                     31,                 1.1773,                  1.096,                 1.4996,                0.91974,                0.88008,                0.94966,                0.74217,                0.81816,                0.84905,                 1.3509,              0.0017129,              0.0017129,              0.0017129
                     32,                 1.0593,                 1.0041,                 1.4305,                0.91813,                0.87255,                0.95004,                0.69667,                  0.941,                 0.8599,                 1.4378,               0.001703,               0.001703,               0.001703
                     33,                 1.0768,                 1.0057,                 1.4264,                0.89538,                0.88562,                0.95576,                0.74855,                0.82666,                0.80117,                 1.3582,              0.0016931,              0.0016931,              0.0016931
                     34,                 1.0598,                0.99307,                 1.4087,                0.92212,                 0.8513,                0.94729,                0.74614,                0.80421,                0.84471,                  1.348,              0.0016832,              0.0016832,              0.0016832
                     35,                  1.063,                0.98884,                 1.4033,                0.91825,                0.87255,                0.94644,                0.72946,                0.82189,                0.84687,                 1.3635,              0.0016733,              0.0016733,              0.0016733
                     36,                 1.0336,                0.92709,                 1.3963,                0.91988,                0.88725,                0.96006,                0.74922,                0.83217,                 0.7912,                 1.3543,              0.0016634,              0.0016634,              0.0016634
                     37,                 1.0209,                0.94327,                 1.3843,                0.93863,                0.88562,                0.96058,                0.77236,                0.74566,                0.77411,                 1.2848,              0.0016535,              0.0016535,              0.0016535
                     38,                 1.0105,                0.93063,                 1.3626,                0.92959,                0.87418,                   0.96,                0.74689,                 0.8458,                0.78687,                  1.352,              0.0016436,              0.0016436,              0.0016436
                     39,                 0.9976,                0.89938,                 1.3442,                0.92689,                0.87003,                0.94162,                0.73667,                0.81418,                 0.8532,                 1.3384,              0.0016337,              0.0016337,              0.0016337
                     40,                0.97685,                0.87128,                 1.3622,                0.93927,                0.91176,                0.97065,                0.78115,                0.74102,                0.74248,                 1.2724,              0.0016238,              0.0016238,              0.0016238
                     41,                0.94738,                0.88619,                 1.3282,                0.94478,                0.89462,                0.96328,                0.78133,                0.73295,                0.70789,                 1.2718,              0.0016139,              0.0016139,              0.0016139
                     42,                 1.0009,                0.86696,                 1.3587,                 0.9348,                0.90196,                0.96456,                0.75935,                0.79587,                 0.7144,                 1.3078,               0.001604,               0.001604,               0.001604
                     43,                0.97574,                0.85907,                 1.3284,                0.94349,                0.92752,                0.97604,                0.78353,                0.72774,                0.66732,                 1.2578,              0.0015941,              0.0015941,              0.0015941
                     44,                 0.9515,                0.87394,                 1.3269,                0.93202,                0.91013,                0.95817,                0.77628,                0.74665,                0.72307,                  1.292,              0.0015842,              0.0015842,              0.0015842
                     45,                0.95196,                0.84571,                 1.3183,                0.92004,                0.90359,                0.95705,                 0.7622,                0.76588,                0.74707,                 1.2908,              0.0015743,              0.0015743,              0.0015743
                     46,                0.90834,                0.82707,                 1.2923,                0.93597,                0.92484,                0.97059,                 0.7922,                 0.7295,                0.64557,                 1.2683,              0.0015644,              0.0015644,              0.0015644
                     47,                0.90988,                0.79429,                 1.2865,                 0.9236,                0.90033,                0.96063,                0.78907,                0.72748,                0.67859,                 1.2791,              0.0015545,              0.0015545,              0.0015545
                     48,                0.91632,                0.80765,                  1.283,                0.94508,                0.92789,                 0.9735,                0.79442,                0.71598,                0.65405,                  1.249,              0.0015446,              0.0015446,              0.0015446
                     49,                0.92295,                0.79261,                 1.2974,                0.93485,                0.91013,                 0.9673,                0.78463,                0.73778,                0.67188,                 1.2548,              0.0015347,              0.0015347,              0.0015347
                     50,                0.93103,                0.83216,                 1.3203,                 0.9457,                0.91069,                0.96626,                0.78675,                0.71074,                 0.6532,                 1.2348,              0.0015248,              0.0015248,              0.0015248
                     51,                0.89976,                0.82778,                 1.2959,                0.93059,                0.92004,                0.96903,                0.78848,                0.69529,                0.68807,                 1.2326,              0.0015149,              0.0015149,              0.0015149
                     52,                0.89028,                0.77243,                 1.2754,                0.92351,                0.93464,                0.97239,                0.80105,                0.70845,                 0.6291,                 1.2473,               0.001505,               0.001505,               0.001505
                     53,                0.88585,                0.78468,                 1.2801,                0.94263,                0.91279,                0.96896,                0.79409,                0.69326,                0.65787,                 1.2222,              0.0014951,              0.0014951,              0.0014951
                     54,                0.84897,                0.74675,                 1.2534,                0.94694,                0.92157,                0.97614,                0.81534,                0.66399,                0.61399,                  1.203,              0.0014852,              0.0014852,              0.0014852
                     55,                0.87279,                0.78745,                 1.2627,                0.93957,                 0.9232,                0.97115,                0.80657,                0.65312,                0.64372,                 1.1768,              0.0014753,              0.0014753,              0.0014753
                     56,                0.92456,                0.81627,                  1.306,                0.93159,                 0.9085,                0.96665,                0.77556,                0.75313,                 0.6594,                 1.2709,              0.0014654,              0.0014654,              0.0014654
                     57,                0.90076,                0.74042,                 1.2753,                0.95414,                0.91785,                0.97539,                0.79553,                0.73278,                0.61021,                 1.2528,              0.0014555,              0.0014555,              0.0014555
                     58,                 0.8861,                0.77411,                 1.2821,                0.93402,                0.94118,                0.97675,                0.81474,                0.65188,                0.61501,                 1.1884,              0.0014456,              0.0014456,              0.0014456
                     59,                0.84669,                 0.7468,                 1.2375,                 0.9655,                0.90359,                0.97487,                0.81426,                0.66669,                0.59683,                 1.2105,              0.0014357,              0.0014357,              0.0014357
